make,component,complaint_count,crash_count,crash_rate_pct
TESLA,"ELECTRICAL SYSTEM,UNKNOWN OR OTHER,FORWARD COLLISION AVOIDANCE",5,0.0,0.0
TESLA,LATCHES/LOCKS/LINKAGES,13,0.0,0.0
TESLA,"AIR BAGS,UNKNOWN OR OTHER",8,0.0,0.0
TESLA,"UNKNOWN OR OTHER,VISIBILITY/WIPER",24,0.0,0.0
TESLA,SEAT BELTS,88,0.0,0.0
TESLA,"ELECTRICAL SYSTEM,BACK OVER PREVENTION",7,0.0,0.0
TESLA,"VISIBILITY/WIPER,FORWARD COLLISION AVOIDANCE",6,0.0,0.0
TESLA,"FORWARD COLLISION AVOIDANCE,ELECTRICAL SYSTEM",11,0.0,0.0
TESLA,"ELECTRICAL SYSTEM,EXTERIOR LIGHTING",10,0.0,0.0
TESLA,"AIR BAGS,SEATS",31,0.0,0.0
TESLA,"EXTERIOR LIGHTING,VISIBILITY/WIPER",5,0.0,0.0
TESLA,"VEHICLE SPEED CONTROL,FORWARD COLLISION AVOIDANCE,LANE DEPARTURE",11,0.0,0.0
TESLA,"POWER TRAIN,ELECTRICAL SYSTEM,FUEL/PROPULSION SYSTEM",13,0.0,0.0
TESLA,"ELECTRICAL SYSTEM,SEAT BELTS",6,0.0,0.0
TESLA,"ELECTRICAL SYSTEM,ENGINE",6,0.0,0.0
TESLA,"ELECTRICAL SYSTEM,UNKNOWN OR OTHER,VISIBILITY/WIPER",7,0.0,0.0
TESLA,"AIR BAGS,SEAT BELTS,UNKNOWN OR OTHER",6,0.0,0.0
TESLA,"SUSPENSION,UNKNOWN OR OTHER",8,0.0,0.0
TESLA,"ELECTRICAL SYSTEM,AIR BAGS,SEAT BELTS",6,0.0,0.0
TESLA,"STEERING,ELECTRICAL SYSTEM",10,0.0,0.0
TESLA,"ELECTRICAL SYSTEM,ENGINE,FUEL/PROPULSION SYSTEM",5,0.0,0.0
TESLA,VISIBILITY,22,0.0,0.0
TESLA,"ELECTRICAL SYSTEM,VISIBILITY/WIPER",13,0.0,0.0
TESLA,VISIBILITY/WIPER,82,0.0,0.0
TESLA,"ELECTRICAL SYSTEM,FUEL/PROPULSION SYSTEM",14,0.0,0.0
TESLA,"AIR BAGS,SEAT BELTS,SEATS",46,0.0,0.0
TOYOTA,"POWER TRAIN,VEHICLE SPEED CONTROL,SERVICE BRAKES",5,5.0,100.0
TOYOTA,"AIR BAGS,VEHICLE SPEED CONTROL,SERVICE BRAKES",5,5.0,100.0
TOYOTA,"AIR BAGS,VEHICLE SPEED CONTROL",11,11.0,100.0
TOYOTA,"STRUCTURE,SERVICE BRAKES",5,5.0,100.0
TOYOTA,"AIR BAGS,SERVICE BRAKES",18,16.0,88.89
TOYOTA,"AIR BAGS,FORWARD COLLISION AVOIDANCE",9,8.0,88.89
TOYOTA,"AIR BAGS,SEAT BELTS,SERVICE BRAKES",6,5.0,83.33
TOYOTA,"STEERING,AIR BAGS",6,5.0,83.33
TOYOTA,"STEERING,VEHICLE SPEED CONTROL,SERVICE BRAKES",5,4.0,80.0
TOYOTA,"AIR BAGS,STRUCTURE,ENGINE",6,4.0,66.67
TOYOTA,"AIR BAGS,STRUCTURE,SERVICE BRAKES",6,4.0,66.67
TOYOTA,"UNKNOWN OR OTHER,SERVICE BRAKES,FORWARD COLLISION AVOIDANCE",8,5.0,62.5
TOYOTA,"AIR BAGS,SEAT BELTS,UNKNOWN OR OTHER",5,3.0,60.0
TOYOTA,"VEHICLE SPEED CONTROL,SERVICE BRAKES,ENGINE",5,3.0,60.0
TOYOTA,"VEHICLE SPEED CONTROL,SERVICE BRAKES",33,19.0,57.58
TOYOTA,"AIR BAGS,SEAT BELTS",55,31.0,56.36
TOYOTA,"AIR BAGS,STRUCTURE",27,14.0,51.85
TOYOTA,"VEHICLE SPEED CONTROL,SERVICE BRAKES,FORWARD COLLISION AVOIDANCE",8,4.0,50.0
TOYOTA,"STEERING,SERVICE BRAKES",16,8.0,50.0
TOYOTA,"BACK OVER PREVENTION,FORWARD COLLISION AVOIDANCE",6,3.0,50.0
TOYOTA,AIR BAGS,623,275.0,44.14
TOYOTA,"WHEELS,SERVICE BRAKES",5,2.0,40.0
TOYOTA,"ELECTRICAL SYSTEM,AIR BAGS,SERVICE BRAKES",8,3.0,37.5
TOYOTA,"ELECTRICAL SYSTEM,VEHICLE SPEED CONTROL,SERVICE BRAKES",6,2.0,33.33
TOYOTA,"POWER TRAIN,ELECTRICAL SYSTEM,VEHICLE SPEED CONTROL",6,2.0,33.33
TOYOTA,"ELECTRICAL SYSTEM,VEHICLE SPEED CONTROL",6,2.0,33.33
TOYOTA,"AIR BAGS,UNKNOWN OR OTHER",13,4.0,30.77
TOYOTA,"UNKNOWN OR OTHER,FORWARD COLLISION AVOIDANCE",17,5.0,29.41
TOYOTA,"STEERING,SUSPENSION,WHEELS",7,2.0,28.57
TOYOTA,VEHICLE SPEED CONTROL,167,47.0,28.14
TOYOTA,"SERVICE BRAKES,FORWARD COLLISION AVOIDANCE",40,11.0,27.5
TOYOTA,"ELECTRICAL SYSTEM,ENGINE,FORWARD COLLISION AVOIDANCE",8,2.0,25.0
TOYOTA,"ELECTRICAL SYSTEM,SERVICE BRAKES",20,5.0,25.0
TOYOTA,"VEHICLE SPEED CONTROL,ENGINE",16,4.0,25.0
TOYOTA,"VEHICLE SPEED CONTROL,UNKNOWN OR OTHER",16,4.0,25.0
TOYOTA,"ELECTRICAL SYSTEM,AIR BAGS,SEAT BELTS",9,2.0,22.22
TOYOTA,"POWER TRAIN,FORWARD COLLISION AVOIDANCE",9,2.0,22.22
TOYOTA,"ELECTRICAL SYSTEM,SERVICE BRAKES,ENGINE",9,2.0,22.22
TOYOTA,"ELECTRICAL SYSTEM,AIR BAGS,UNKNOWN OR OTHER",10,2.0,20.0
TOYOTA,PARKING BRAKE,5,1.0,20.0
TOYOTA,"UNKNOWN OR OTHER,SERVICE BRAKES",20,4.0,20.0
